天皇寺,香川県坂出市西庄町天皇1713-2,34.3114457,133.8828232
國分寺,香川県高松市国分寺町国分2065,34.3031243,133.94417
白峯寺 ,香川県坂出市青梅町2635,34.3163193,133.8605102
根香寺,香川県高松市中山町1506,34.3444442,133.960676
一宮寺,香川県高松市一宮町607,34.2866321,134.0266248
屋島寺,香川県高松市屋島東町1808,34.3579444,134.1012579
八栗寺,香川県高松市牟礼町牟礼3416,34.3598272,134.1394657
志度寺,香川県さぬき市志度1102,34.3243155,134.1795768
長尾寺,香川県さぬき市長尾西653,34.2663552,134.1714671
大窪寺,香川県さぬき市多和兼割96,34.1914157,134.2067671
